$VNYMR,-165.970,-037.299,+001.252,+00.2894,+00.0706,+00.7482,-05.961,-00.184,-07.853,+00.000885,-00.000192,-00.000642*69
$VNYMR,-165.972,-037.299,+001.254,+00.2860,+00.0735,+00.7465,-05.953,-00.172,-07.799,+00.001606,-00.000007,-00.000762*64
$VNYMR,-165.974,-037.300,+001.256,+00.2900,+00.0713,+00.7467,-05.966,-00.162,-07.835,+00.001919,-00.001593,-00.000673*67
$VNYMR,-165.976,-037.300,+001.258,+00.2860,+00.0729,+00.7481,-05.981,-00.170,-07.818,+00.001298,-00.001391,-00.001370*69
$VNYMR,-165.980,-037.303,+001.260,+00.2893,+00.0706,+00.7452,-05.944,-00.172,-07.861,+00.001568,-00.001878,-00.000056*60
$VNYMR,-165.980,-037.304,+001.261,+00.2880,+00.0756,+00.7443,-05.966,-00.179,-07.840,-00.000349,+00.000031,-00.000126*6F
$VNYMR,-165.983,-037.303,+001.262,+00.2900,+00.0727,+00.7444,-05.958,-00.155,-07.844,+00.000967,-00.000681,-00.000895*6D
$VNYMR,-165.984,-037.305,+001.260,+00.2880,+00.0770,+00.7443,-05.985,-00.195,-07.857,+00.000124,-00.002179,+00.001600*64
$VNYMR,-165.985,-037.305,+001.259,+00.2886,+00.0727,+00.7428,-05.970,-00.167,-07.855,+00.000044,-00.000467,+00.001000*6A
$VNYMR,-165.983,-037.305,+001.255,+00.2879,+00.0706,+00.7436,-05.969,-00.175,-07.814,-00.001905,-00.000902,+00.000716*66
$VNYMR,-165.979,-037.303,+001.252,+00.2873,+00.0707,+00.7458,-05.954,-00.148,-07.822,-00.000233,+00.001765,-00.000703*61
$VNYMR,-165.981,-037.303,+001.252,+00.2873,+00.0721,+00.7420,-05.961,-00.149,-07.820,+00.000799,-00.001731,-00.000138*62
$VNYMR,-165.981,-037.302,+001.252,+00.2900,+00.0692,+00.7422,-05.999,-00.163,-07.856,-00.000211,+00.000021,-00.000342*6E
$VNYMR,-165.985,-037.302,+001.252,+00.2887,+00.0721,+00.7459,-05.973,-00.185,-07.833,-00.002246,+00.002406,+00.001481*62
$VNYMR,-165.984,-037.303,+001.249,+00.2887,+00.0728,+00.7466,-05.952,-00.154,-07.843,-00.001540,-00.000277,+00.001875*64
$VNYMR,-165.979,-037.302,+001.245,+00.2880,+00.0721,+00.7451,-05.946,-00.133,-07.836,+00.000252,-00.001733,-00.000613*69
